127.0.0.1 - - [30/Jun/2023:00:09:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:09:15 -0300] "GET /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6427
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:09:15 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:09:15 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:09:54 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6427
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:09:54 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:09:54 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:12:20 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6551
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:12:20 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:12:20 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:12:35 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6502
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:12:35 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:12:35 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:13:00 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6492
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:13:00 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:13:00 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:14:00 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:14:00 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:14:00 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:14:11 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:14:11 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:14:11 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:19:52 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6499
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:19:52 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
